Change dir from /home/yejinmian/GGAP-0512/GGAP/exp/0512 to /home/yejinmian/GGAP-0512/GGAP
Parsing config file...
** Assert in demo mode. **
{'train_loss': 1.848367423372907, 'epoch_time': 1158.1776661872864, 'test_loss': 1.4688602813652583, 'acc@1': 64.63296812407825, 'acc@5': 86.55836214338031, 'LR': 0.01}
{'train_loss': 1.7430873248722407, 'epoch_time': 1243.371735572815, 'test_loss': 1.4898202759878976, 'acc@1': 64.19726371765137, 'acc@5': 86.36883879681022, 'LR': 0.01}
{'train_loss': 1.6986542890360068, 'epoch_time': 1312.557545185089, 'test_loss': 1.3992119832914702, 'acc@1': 65.99028560093471, 'acc@5': 87.2972849631796, 'LR': 0.01}
{'train_loss': 1.6647095355835113, 'epoch_time': 1288.6319825649261, 'test_loss': 1.3746731168761546, 'acc@1': 66.47571976330815, 'acc@5': 87.73355881048708, 'LR': 0.01}
{'train_loss': 1.6438679014171635, 'epoch_time': 1269.2068088054657, 'test_loss': 1.3978033823018172, 'acc@1': 66.17382999342315, 'acc@5': 87.2941531745755, 'LR': 0.01}
{'train_loss': 1.6258930532367795, 'epoch_time': 1300.4236087799072, 'test_loss': 1.3624645112728586, 'acc@1': 66.65195651930206, 'acc@5': 87.73517219387755, 'LR': 0.01}
{'train_loss': 1.6148091388153625, 'epoch_time': 1309.0926814079285, 'test_loss': 1.3401177197086567, 'acc@1': 67.21245971991091, 'acc@5': 88.14231047338369, 'LR': 0.01}
{'train_loss': 1.602663326334882, 'epoch_time': 1263.1972761154175, 'test_loss': 1.3573517930142733, 'acc@1': 66.6590743551449, 'acc@5': 87.98059401220205, 'LR': 0.01}
{'train_loss': 1.5895300493611917, 'epoch_time': 1228.577893257141, 'test_loss': 1.3396604675419477, 'acc@1': 67.32919171391701, 'acc@5': 88.17543201057278, 'LR': 0.01}
{'train_loss': 1.585766713269107, 'epoch_time': 1363.0738987922668, 'test_loss': 1.3726039364629863, 'acc@1': 66.8972834373007, 'acc@5': 87.67082728171835, 'LR': 0.01}
{'train_loss': 1.575702517849582, 'epoch_time': 1374.7378027439117, 'test_loss': 1.3031710124745661, 'acc@1': 68.12790407453265, 'acc@5': 88.74248356721839, 'LR': 0.01}
{'train_loss': 1.5708271342438538, 'epoch_time': 1329.3775298595428, 'test_loss': 1.301415581180125, 'acc@1': 68.11888815432178, 'acc@5': 88.76507077898297, 'LR': 0.01}
{'train_loss': 1.5653324830305804, 'epoch_time': 1321.8118307590485, 'test_loss': 1.2897714616692797, 'acc@1': 68.50002273248167, 'acc@5': 88.69303862902584, 'LR': 0.01}
{'train_loss': 1.5589277510400061, 'epoch_time': 1313.1427974700928, 'test_loss': 1.3151888497629944, 'acc@1': 67.94341060093471, 'acc@5': 88.41952514648438, 'LR': 0.01}
{'train_loss': 1.553013969444252, 'epoch_time': 1309.0285427570343, 'test_loss': 1.3236106977779039, 'acc@1': 67.73082561882175, 'acc@5': 88.31854730722856, 'LR': 0.01}
{'train_loss': 1.5516613503674288, 'epoch_time': 1297.1110243797302, 'test_loss': 1.326527556290432, 'acc@1': 67.99181163554289, 'acc@5': 88.33373190432178, 'LR': 0.01}
{'train_loss': 1.5483761884830334, 'epoch_time': 1290.1424441337585, 'test_loss': 1.278598134310878, 'acc@1': 68.55924287134287, 'acc@5': 89.08205024563536, 'LR': 0.01}
{'train_loss': 1.54385732804145, 'epoch_time': 1261.3458788394928, 'test_loss': 1.2875032254627772, 'acc@1': 68.65927170734017, 'acc@5': 88.81119412791972, 'LR': 0.01}
{'train_loss': 1.5419614746615842, 'epoch_time': 1222.7813851833344, 'test_loss': 1.292548659200571, 'acc@1': 68.45902423469387, 'acc@5': 88.58921354644153, 'LR': 0.01}
